destination_country,worker_count
ไต้หวัน,93142
อิสราเอล,51552
เกาหลีใต้,30668
ญี่ปุ่น,22171
มาเลเซีย,11837
สิงคโปร์,5475
ฮ่องกง,3613
โปรตุเกส,3338
สวีเดน,2976
แคนาดา,2802
ฮังการี,2214
ฟินแลนด์,2120
ยูเออี,1762
สหรัฐอเมริกา,1488
ลาว,1299
รัสเซีย,891
บรูไน,883
นิวซีแลนด์,866
คูเวต,806
กาตาร์,706
ไอร์แลนด์,694
โปแลนด์,623
บาห์เรน,610
เช็ก,591
อินโดนีเซีย,461
ซาอุดีอาระเบีย,451
สวิตเซอร์แลนด์,388
มาเก๊า,361
กรีซ,327
อินเดีย,300
อังกฤษ,234
เยอรมนี,229
แอลจีเรีย,201
คาซัคสถาน,184
ฟิลิปปินส์,179
ไซปรัส,162
เวียดนาม,151
แอฟริกาใต้,148
โครเอเชีย,147
นอร์เวย์,145
ตุรกี,136
สเปน,134
เนเธอร์แลนด์,127
โอมาน,122
บังกลาเทศ,120
เดนมาร์ก,108
อิตาลี,107
จอร์แดน,105
เมียนมา,99
ปานามา,91
เกิร์นซีย์,85
จีน,84
อิหร่าน,83
ฝรั่งเศส,79
มอลตา,77
ยูเครน,76
อุซเบกิสถาน,75
สโลวีเนีย,70
มัลดีฟส์,66
กัมพูชา,62
ซูดานใต้,57
สโลวาเกีย,57
โมร็อกโก,52
สหราชอาณาจักร,48
โมซัมบิก,46
เซอร์เบีย,44
กรีนแลนด์,41
ปาปัวนิวกินี,41
ไนจีเรีย,41
อียิปต์,40
เบอร์มิวดา,38
หมู่เกาะนอร์เทิร์นมาเรียนา,36
ลัตเวีย,32
บัลแกเรีย,28
เลบานอน,27
โคลอมเบีย,26
ออสเตรเลีย,26
เซเชลส์,25
หมู่เกาะเคย์แมน,24
ศรีลังกา,21
โรมาเนีย,21
อิเควทอเรียลกินี,19
เอสวาตินี,18
โมนาโก,17
มาดากัสการ์,16
เอสโตเนีย,16
หมู่เกาะเติกส์และเคคอส,16
เคนยา,14
กานา,14
เบลเยียม,14
ภูฏาน,13
เอธิโอเปีย,13
ไอซ์แลนด์,12
เม็กซิโก,12
เบลารุส,11
ซูดาน,11
ไลบีเรีย,10
บราซิล,9
อาเซอร์ไบจาน,9
บาฮามาส,9
ตรินิแดดและโตเบโก,9
มอลโดวา,8
เปรู,8
แองโกลา,7
ลิเบีย,7
ปารากวัย,7
หมู่เกาะมาร์แชลล์,6
ออสเตรีย,6
แทนซาเนีย,5
เซอร์เบียและมอนเตเนโกร,5
เฟรนช์พอลินีเชีย,4
คอซอวอ,4
อิรัก,4
ดีอาร์คองโก,4
แอลเบเนีย,4
สกอตแลนด์,4
ปากีสถาน,4
เกาหลีเหนือ,3
มาซิโดเนียเหนือ,3
ลิทัวเนีย,3
มองโกเลีย,2
มอริเชียส,2
ไอล์ออฟแมน,2
ไอร์แลนด์เหนือ,2
เอลซัลวาดอร์,2
รวันดา,2
ฟิจิ,2
จิบูติ,2
หมู่เกาะเวอร์จินของสหรัฐฯ,1
นิวแคลิโดเนีย,1
ตองกา,1
เปอร์โตริโก,1
โดมินิกัน,1
บอตสวานา,1
แกมเบีย,1
คองโก,1
เลโซโท,1
ยูกันดา,1
ลักเซมเบิร์ก,1
ชิลี,1
