district,worker_count
อำเภอเมืองอุดรธานี,4812
อำเภอหนองหาน,4678
อำเภอเพ็ญ,4588
อำเภอสว่างแดนดิน,3443
อำเภอโพนพิสัย,2830
อำเภอบ้านผือ,2789
อำเภอบ้านดุง,2716
อำเภอเมืองหนองบัวลำภู,2635
อำเภอเมืองนครพนม,2597
อำเภอแม่ฟ้าหลวง,2546
อำเภอประทาย,2418
อำเภอแม่สรวย,2043
อำเภอเมืองหนองคาย,2039
อำเภอแก้งคร้อ,1956
อำเภอกุมภวาปี,1953
อำเภอเมืองเชียงราย,1868
อำเภอจักราช,1745
อำเภอท่าบ่อ,1697
อำเภอสุวรรณคูหา,1696
อำเภอภูเขียว,1629
อำเภอกุดจับ,1572
อำเภอปลาปาก,1562
อำเภอไชยวาน,1502
อำเภอหนองสองห้อง,1497
อำเภอหนองวัวซอ,1464
อำเภอนากลาง,1457
อำเภอวานรนิวาส,1449
อำเภอทุ่งฝน,1358
อำเภอเมืองชัยภูมิ,1353
อำเภอลำปลายมาศ,1343
อำเภอธาตุพนม,1337
อำเภอศรีสงคราม,1333
อำเภอบัวใหญ่,1329
อำเภอศรีบุญเรือง,1275
อำเภอห้วยแถลง,1268
อำเภอสร้างคอม,1259
อำเภอกู่แก้ว,1201
อำเภอเมืองนครราชสีมา,1149
อำเภอบ้านแท่น,1131
อำเภอชุมพวง,1125
อำเภอเวียงแก่น,1116
อำเภอแม่จัน,1110
อำเภอเถิน,1095
อำเภอชุมแพ,1074
อำเภอพิบูลย์รักษ์,1056
อำเภอเมืองขอนแก่น,1030
อำเภอท่าอุเทน,1025
อำเภอคง,1008
อำเภอเดชอุดม,1008
อำเภอเทิง,1003
อำเภอเมืองสตูล,999
อำเภอพิมาย,983
อำเภอท่าตูม,977
อำเภอโนนสัง,970
อำเภอพุทไธสง,968
อำเภอประจักษ์ศิลปาคม,960
อำเภอโพนสวรรค์,957
อำเภอกระสัง,953
อำเภอศรีธาตุ,941
อำเภอเจริญศิลป์,907
อำเภอเมืองยาง,896
อำเภอคูเมือง,886
อำเภอบรบือ,875
อำเภอบ้านตาก,875
อำเภอโกสุมพิสัย,862
อำเภอคอนสวรรค์,853
อำเภอบ้านม่วง,849
อำเภอเมืองบึงกาฬ,849
อำเภอบ้านใหม่ไชยพจน์,846
อำเภอน้ำโสม,838
อำเภอเฝ้าไร่,833
อำเภอเมืองสุรินทร์,824
อำเภอบ้านด่านลานหอย,809
อำเภอศรีราชา,803
อำเภอสบปราบ,798
อำเภอพบพระ,794
อำเภอโซ่พิสัย,787
อำเภอละงู,786
อำเภอเสริมงาม,772
อำเภอทุ่งเสลี่ยม,770
อำเภอเมืองกำแพงเพชร,757
อำเภอพล,755
อำเภอเฉลิมพระเกียรติ,728
อำเภอแวงน้อย,728
อำเภอเรณูนคร,722
อำเภอบ้านไผ่,719
อำเภอเซกา,714
อำเภอเมืองบุรีรัมย์,709
อำเภอเกษตรสมบูรณ์,693
อำเภอเมืองสกลนคร,688
อำเภอหนองเรือ,683
อำเภอแก้งสนามนาง,663
อำเภออากาศอำนวย,654
อำเภอหนองบัวแดง,651
อำเภอเชียงคำ,644
อำเภอวังสามหมอ,644
อำเภอบางระกำ,642
อำเภอเมืองสุโขทัย,636
อำเภอนาโพธิ์,634
อำเภอปง,634
อำเภอสีชมพู,633
อำเภอเชียงของ,626
อำเภอกันทรลักษ์,625
อำเภอเมืองลำปาง,620
อำเภอหนองจิก,619
อำเภอตระการพืชผล,617
อำเภอเมืองสมุทรปราการ,617
อำเภอศรีสัชนาลัย,605
อำเภอสระใคร,602
อำเภอรัตนวาปี,592
อำเภอบุณฑริก,592
อำเภอน้ำพอง,586
อำเภอนาวัง,577
อำเภอพิบูลมังสาหาร,576
อำเภอยะหริ่ง,565
อำเภอจัตุรัส,564
อำเภอส่องดาว,562
อำเภอลำทะเมนชัย,562
อำเภอนาเชือก,556
อำเภอด่านขุนทด,551
อำเภอพญาเม็งราย,551
อำเภอเมืองตาก,529
อำเภอคลองลาน,528
อำเภอยางตลาด,525
อำเภอหนองไผ่,519
อำเภอประโคนชัย,514
อำเภอบ้านแพง,511
อำเภอโนนสะอาด,509
อำเภอโนนสูง,506
อำเภอศรีสำโรง,505
อำเภอสังขะ,505
อำเภอนาหว้า,504
อำเภอเมืองมุกดาหาร,504
อำเภอหนองหงส์,499
อำเภอแม่อาย,492
อำเภอเวียงป่าเป้า,492
อำเภอหนองกี่,481
อำเภอพาน,480
อำเภอมัญจาคีรี,479
อำเภอบางละมุง,474
อำเภอกุดรัง,473
อำเภอเมืองปัตตานี,472
อำเภอชำนิ,469
อำเภอเขาสวนกวาง,468
อำเภอนาจะหลวย,468
อำเภอคีรีมาศ,466
อำเภอเมืองมหาสารคาม,459
อำเภอภูเวียง,459
อำเภอปักธงชัย,457
อำเภอกันตัง,456
อำเภอพิชัย,453
อำเภอหนองบุญมาก,453
อำเภอบัวลาย,450
อำเภอปราสาท,449
อำเภอวารินชำราบ,446
อำเภอเวียงเชียงรุ้ง,445
อำเภอโพนนาแก้ว,444
อำเภอนางรอง,437
อำเภอสามเงา,434
อำเภอสตึก,430
อำเภอนาแก,424
อำเภอเทพสถิต,423
อำเภอเมืองระยอง,422
อำเภอคลองหลวง,412
อำเภอวาปีปทุม,411
อำเภอศรีเชียงใหม่,406
อำเภอเชียงดาว,404
อำเภอเมืองพิษณุโลก,402
อำเภอชุมพลบุรี,399
อำเภอเขาค้อ,396
อำเภอหาดใหญ่,394
อำเภอสะเดา,393
อำเภอปัว,392
อำเภอปลวกแดง,390
อำเภอเมืองอุบลราชธานี,390
อำเภอกันทรวิชัย,388
อำเภอหนองแสง,386
อำเภอพยัคฆภูมิพิสัย,385
อำเภอเกาะคา,384
อำเภอเมืองลำพูน,381
อำเภอคำตากล้า,379
อำเภอสีคิ้ว,378
อำเภอเขมราฐ,377
อำเภอขุขันธ์,373
อำเภอบำเหน็จณรงค์,371
อำเภอโคกโพธิ์ไชย,369
อำเภอกุสุมาลย์,368
อำเภอเมืองชลบุรี,364
อำเภอพังโคน,358
อำเภอบางพลี,358
อำเภอบัวเชด,356
อำเภอเมืองน่าน,354
อำเภอเมืองเพชรบูรณ์,350
อำเภอม่วงสามสิบ,350
อำเภอกระนวน,345
อำเภอจะนะ,344
อำเภอแม่สอด,344
อำเภออุบลรัตน์,344
อำเภอศีขรภูมิ,341
อำเภอเมืองเชียงใหม่,340
อำเภอสูงเนิน,333
อำเภอพรรณานิคม,332
อำเภอแม่พริก,329
อำเภอโนนไทย,329
อำเภอสวรรคโลก,327
อำเภอศรีวิไล,326
อำเภอวังสะพุง,325
อำเภอเสิงสาง,325
อำเภอละหานทราย,324
อำเภอพรเจริญ,323
อำเภอยางสีสุราช,323
อำเภอลี้,323
อำเภอภูซาง,322
อำเภอเมืองอำนาจเจริญ,322
อำเภอเมืองกาฬสินธุ์,322
อำเภอนายูง,321
อำเภอสำโรง,320
อำเภอเขื่องใน,318
อำเภอคอนสาร,316
อำเภอหนองนาคำ,316
อำเภอลำลูกกา,315
อำเภอวังเจ้า,313
อำเภอบ้านแฮด,312
อำเภอเมืองร้อยเอ็ด,307
อำเภอสีดา,305
อำเภอแม่ทะ,303
อำเภอกาบเชิง,299
อำเภอเสลภูมิ,296
อำเภอโนนศิลา,293
อำเภอเชียงแสน,292
อำเภอวาริชภูมิ,291
อำเภอนาทม,287
อำเภอปากคาด,286
อำเภอบึงโขงหลง,285
อำเภอวังชิ้น,285
อำเภอฝาง,283
อำเภอภูพาน,283
อำเภอยะรัง,283
อำเภอท่าวังผา,282
อำเภอเกษตรวิสัย,281
อำเภอเอราวัณ,280
อำเภอกันทรารมย์,280
อำเภอธัญบุรี,278
อำเภอแวงใหญ่,277
อำเภอหนองบัวระเหว,276
อำเภอสันทราย,276
อำเภอมหาชนะชัย,276
อำเภอบ้านกรวด,276
อำเภอเมืองพะเยา,275
อำเภอพร้าว,273
อำเภอสุวรรณภูมิ,271
อำเภอครบุรี,271
อำเภอจุน,270
อำเภอปะคำ,268
อำเภอโชคชัย,267
อำเภอหนองกุงศรี,267
อำเภอดอนตาล,267
อำเภอบ้านฝาง,263
อำเภอวิเชียรบุรี,262
อำเภองาว,258
อำเภอปะนาเระ,256
อำเภอโคกศรีสุพรรณ,256
อำเภอสิรินธร,253
อำเภอแม่ริม,253
อำเภอวังทอง,252
อำเภอสังคม,252
อำเภอน้ำยืน,250
อำเภอไทรงาม,250
อำเภอเมืองสมุทรสาคร,250
อำเภอบ้านโคก,249
อำเภอแม่สาย,246
อำเภอปากช่อง,246
อำเภอแม่วงก์,245
อำเภอแคนดง,245
อำเภอเนินสง่า,244
อำเภอบ้านเขว้า,244
อำเภอชาติตระการ,243
อำเภอแกดำ,240
อำเภอบางบัวทอง,239
อำเภอทรายทองวัฒนา,239
อำเภอโพธิ์ตาก,238
อำเภอนิคมพัฒนา,238
อำเภอจตุรพักตรพิมาน,237
อำเภอบ้านเหลื่อม,235
อำเภอศรีเมืองใหม่,235
อำเภอภักดีชุมพล,233
อำเภอขุนหาญ,233
อำเภอท่าคันโท,232
อำเภอโนนแดง,230
อำเภอนาคู,230
อำเภอเมืองนนทบุรี,229
อำเภอกุฉินารายณ์,228
อำเภอเวียงสา,227
อำเภอเมืองเลย,227
อำเภอชนบท,226
อำเภอแม่แตง,224
อำเภอผาขาว,223
อำเภอหล่มสัก,221
อำเภอเวียงชัย,220
อำเภอโพนทอง,220
อำเภอเปือยน้อย,219
อำเภอขามสะแกแสง,217
อำเภอวังเหนือ,216
อำเภอลานกระบือ,216
อำเภออุทุมพรพิสัย,214
อำเภอดอนมดแดง,213
อำเภอเมืองปาน,212
อำเภอขุนตาล,212
อำเภอมายอ,210
อำเภอแม่ลาว,208
อำเภออาจสามารถ,207
อำเภอแม่เมาะ,206
อำเภอตาลสุม,206
เขตลาดกระบัง,205
อำเภอเมืองยโสธร,205
อำเภอเมืองศรีสะเกษ,205
อำเภอเมืองนครสวรรค์,204
อำเภอพานทอง,204
อำเภอเมืองสงขลา,203
อำเภอเมืองปทุมธานี,203
อำเภอเมืองยะลา,202
อำเภอคลองขลุง,201
อำเภอรัตนบุรี,201
อำเภอกบินทร์บุรี,201
อำเภอบ้านฉาง,201
อำเภอดอกคำใต้,200
อำเภอป่าแดด,200
อำเภอสามพราน,200
อำเภอเขาฉกรรจ์,199
อำเภอสัตหีบ,198
อำเภอพระยืน,198
อำเภอน้ำปาด,197
อำเภอกุดข้าวปุ้น,195
อำเภอวังน้ำเย็น,195
อำเภอกงไกรลาศ,194
อำเภอธวัชบุรี,194
อำเภอทุ่งช้าง,193
อำเภอห้วยเม็ก,192
อำเภอสมเด็จ,192
อำเภอโพธิ์ไทร,192
เขตคลองสามวา,191
อำเภอบางปะอิน,189
อำเภอเลิงนกทา,189
อำเภอสองแคว,189
อำเภอเขาวง,188
เขตสายไหม,183
อำเภอปากเกร็ด,182
เขตหนองจอก,181
อำเภอชุมแสง,181
เขตบางเขน,179
อำเภอคำม่วง,177
อำเภอแม่ระมาด,176
อำเภอเชียงยืน,176
อำเภอพระทองคำ,176
อำเภอเมืองอุตรดิตถ์,174
อำเภอสอง,172
อำเภอเมืองภูเก็ต,171
อำเภอหางดง,170
อำเภอสนามชัยเขต,170
อำเภอโขงเจียม,168
อำเภอบุ่งคล้า,167
อำเภอศรีณรงค์,166
อำเภอหัวตะพาน,165
อำเภอจอมพระ,165
อำเภอสำโรงทาบ,164
อำเภอพรหมพิราม,164
เขตบางกะปิ,164
อำเภอคำเขื่อนแก้ว,162
อำเภอเนินมะปราง,162
อำเภอบ้านด่าน,161
อำเภอนครไทย,159
อำเภอสะบ้าย้อย,159
อำเภอปทุมราชวงศา,159
อำเภอห้างฉัตร,159
อำเภอพรานกระต่าย,159
อำเภอราษีไศล,157
อำเภอขาณุวรลักษบุรี,156
อำเภอกุดชุม,156
อำเภอเมืองสระแก้ว,156
เขตดอนเมือง,155
อำเภอเมืองลพบุรี,155
อำเภอโนนคูณ,155
อำเภอศรีมหาโพธิ,154
อำเภอแม่แจ่ม,153
อำเภอตาพระยา,153
อำเภอภูผาม่าน,151
อำเภอเมืองกาญจนบุรี,150
อำเภอสิงหนคร,150
อำเภอดอยสะเก็ด,150
อำเภอเทพา,150
อำเภอห้วยราช,150
เขตบางขุนเทียน,150
อำเภอนาดูน,149
เขตประเวศ,149
อำเภอร้องกวาง,148
อำเภอโนนสุวรรณ,147
อำเภอบางเสาธง,147
อำเภอปรางค์กู่,146
อำเภอนาตาล,146
อำเภอค้อวัง,146
อำเภอโนนนารายณ์,146
อำเภอสายบุรี,145
อำเภอชานุมาน,145
อำเภอบึงสามพัน,144
อำเภอสารภี,143
อำเภอพนมดงรัก,142
อำเภอลาดยาว,141
เขตบึงกุ่ม,141
อำเภอหนองพอก,141
อำเภอบางบ่อ,141
อำเภอแจ้ห่ม,140
อำเภอชนแดน,140
อำเภอพระสมุทรเจดีย์,139
อำเภอเทพารักษ์,139
อำเภอรามัน,139
อำเภอภูกามยาว,139
อำเภอเชียงคาน,138
อำเภอเมืองนครปฐม,137
อำเภอศรีเทพ,137
เขตมีนบุรี,136
อำเภอดอยหลวง,136
อำเภอแม่ทา,135
อำเภอวังน้อย,135
อำเภอยะหา,134
อำเภอพนมไพร,134
เขตบางแค,134
อำเภอสหัสขันธ์,134
