standard_job_title,worker_count
คนงานเกษตร,42247
ผลิตผลิตภัณฑ์โลหะ,20864
คนงานอุตสาหกรรมทั่วไป,17296
คนงานทั่วไป,15372
กรรมกรหรือคนงาน,12490
ผู้ปฏิบัติงานก่อสร้างอื่น ๆ,12163
นวดแผนโบราณ,7129
ผลิตชิ้นส่วนอิเลคทรอนิคส์,6592
คนงานผลิตผลิตภัณฑ์ พลาสติก,5120
ผลิตเครื่องจักรกล,4108
คนงานผลิตผลิตภัณฑ์ทั่วไป,4056
ช่างเชื่อม,3831
อุตสาหกรรมผลิตอาหาร,3774
กุ๊ก,3541
คนงานผลิตสิ่งทอ,3532
เกษตรกรทั่วไป,3016
เกษตรกรเก็บผลไม้ป่า,2924
พนักงานบรรจุอาหาร,2473
ชาวประมงและผู้ปฏิบัติงานที่เกี่ยวข้อง,2451
ผลิตอาหารสำเร็จรูป,2433
ช่างไม้ (ก่อสร้าง),2236
ผลิตผลิตภัณฑ์ยาง,1905
ผลิตชิ้นส่วนรถยนต์และรถจักรยานยนต์,1883
ผลิตผลิตภัณฑ์อาหารแช่แข็ง,1781
ผลิตอะไหล่รถจักรยาน,1581
พนักงานต้อนรับบนอากาศยาน,1502
ผลิตอุปกรณ์ชิ้นส่วนรถยนต์,1460
กุ๊ก (อาหารไทย),1347
ผู้ช่วยงานบ้าน,1323
ช่างเหล็ก,1278
พนักงานทั่วไป,1277
ช่างปูกระเบื้อง,1229
แม่บ้าน,1189
ช่างเทคนิค,1130
พนักงานเสริฟ,1119
ผู้อนุบาล,1118
ช่างปูน,1058
ผลิตผลิตภัณฑ์กระดาษ,912
เกษตรกรเก็บผลไม้ในฟาร์ม,912
ผู้ทำงานในสวนเพาะชำและผู้ทำสวนอื่น ๆ,899
ผลิตผลิตภัณฑ์พลาสติก,877
ผลิตผลิตภัณฑ์ซีเมนต์,853
ลูกเรือหาปลา,849
พนักงานโรงงาน(ซึ่งมิได้จัดประเภทไว้),832
ช่างประกอบท่อ,822
ช่างซ่อมบำรุง,790
วิศวกร,762
ผลิตภัณฑ์เคมี' ผลิตเคมีภัณฑ์,756
พ่อครัวชั้นหนึ่ง,705
บรรจุหีบห่อ,668
คนงานในฟาร์มทั่วไป,631
ประกอบอุปกรณ์ไฟฟ้าอิเลคทรอนิกส์,622
พนักงานฝึกงาน,609
ทำความสะอาด,596
ผลิตอุปกรณ์ชิ้นส่วนรถจักรยานยนต์,590
ผู้ทำปลาและอาหารทะเลอื่น ๆ,585
ช่างไม้แบบ,564
พนักงานเครื่องหล่อพลาสติก,563
เกษตรกรพืชไร่และผัก,551
ผลิตอลูมิเนียม,547
พนักงานรับรายการอาหาร,542
กลึงโลหะ,534
ผลิตกระจก,507
ผู้เลี้ยงปศุสัตว์อื่น ๆ,497
ช่างผูกเหล็ก,493
ผลิตเหล็ก,488
ประกอบเครื่องจักรกล,476
ผู้ซักรีดทั่วไป,474
เกษตรไร่องุ่น,454
ช่างเหล็ก (ก่อสร้าง),444
พนักงานตรวจสอบ-ควบคุมคุณภาพงาน,437
ผลิตแก้ว,393
ผลิตแบตเตอรี่,381
ผู้ช่วยกุ๊ก,378
ผู้ดูแลงาน,370
หัวหน้างานทั่วไป,370
ชุบโลหะ,368
ผลิตอุปกรณ์ชิ้นส่วนยานพาหนะ,366
ผลิตเฟอร์นิเจอร์ (ชาย),351
ขัดผิวโลหะ,343
ชาวประมง พราน และผู้ปฏิบัติงานที่เกี่ยวข้อง,324
ผลิตชิ้นส่วนและประกอบเครื่องกำเนิดไฟฟ้า,314
ช่างประกอบโครงสร้าง,300
พนักงานบริการห้องอาหาร,297
ช่างไฟฟ้าทั่วไป,294
กรรมกรหรือคนงานทำงานหนัก,292
ผลิตประกอบยานพาหนะในการขนส่ง,290
พนักงานเสริฟ พนักงานปรุงและเสริฟเครื่องดื่ม และอื่น ๆ,287
ควบคุมเครื่องจักร,285
พนักงานทอผ้า,283
ช่างทาสีอาคาร,281
ผู้จัดการทั่วไป,279
คนงานผลิตสิ่งพิมพ์,274
ประกอบอุปกรณ์ไฟฟ้า,273
พนักงานผลิต ผลิตภัณฑ์หินอ่อน,252
ช่างปูนฉาบ,251
พนักงานต้อนรับ,250
โฟร์แมน,248
ล่าม,243
พนักงานผลิต ผลิตภัณฑ์เซรามิค,238
ผลิตสายไฟฟ้า,237
เครื่องปั้นดินเผา,235
ช่างเสริมสวย,233
วิศวกรอื่น ๆ,232
ช่างประกอบนั่งร้าน,231
นายเรือ; นายท้าย; กัปตันเรือ,228
ผู้ปฏิบัติงานเกี่ยวกับการผลิตซึ่งมิได้จัดประเภทไว้ในที่อื่น,228
ผลิตเหล็กแผ่น,220
พนักงานและคนงานปลูกป่า,219
ผลิตผลิตภัณฑ์ใยแก้ว,215
ประกอบชิ้นส่วนเครื่องใช้ไฟฟ้า,206
กรรมกรหรือคนงานทำงานเบา,202
คนทำสวน,198
ช่างทำขนมปัง,196
พนักงานปรุงและเสริฟเครื่องดื่ม,196
พนักงานขาย,195
ตัดโลหะ,194
ช่างเชื่อมท่อ,191
หล่อเหล็ก,190
ควบคุมเครื่องจักรกล,188
พนักงานขับรถ,180
คนทำความสะอาดอาคาร,178
พนักงานทำความสะอาดห้องพัก,165
ผู้ช่วยพนักงานเสริฟ,163
เกษตรเลี้ยงปศุสัตว์,160
ผลิตภัณฑ์ไม้,160
ผลิตอาหารสัตว์,157
กุ๊ก (อาหารญีปุ่น),155
คนงานชุบโลหะด้วยไฟฟ้า,153
ช่างทำขนมประเภทอบ และช่างทำขนมอื่น ๆ,149
บาร์เทนเดอร์  ชาย/หญิง,148
พนักงานในครัว,145
ช่างพ่นสี,142
ประกอบชิ้นส่วนอิเลคทรอนิกส์,140
ช่างสี (ชั้น 1),137
นักแต่งเพลง นักดนตรี นักร้อง นักแสดง อื่น ๆ,133
