destination_country,district,worker_count
คูเวต,อำเภอสบปราบ,87
คูเวต,อำเภอเขาวง,64
คูเวต,อำเภอโคกศรีสุพรรณ,48
คูเวต,อำเภอบ้านด่านลานหอย,46
คูเวต,อำเภอพร้าว,24
คูเวต,อำเภอหนองวัวซอ,22
คูเวต,อำเภอเมืองเชียงราย,15
คูเวต,อำเภอภูเวียง,14
คูเวต,อำเภอเดชอุดม,12
คูเวต,อำเภอบ้านแท่น,10
คูเวต,อำเภอโกสุมพิสัย,10
คูเวต,อำเภอกระนวน,10
คูเวต,อำเภอแม่ลาว,10
คูเวต,อำเภอเมืองอุดรธานี,9
คูเวต,อำเภอสุวรรณคูหา,9
คูเวต,อำเภอบางละมุง,9
คูเวต,อำเภอเขื่องใน,7
คูเวต,อำเภอเมืองภูเก็ต,7
คูเวต,อำเภอวัฒนานคร,7
คูเวต,อำเภอปราสาท,6
คูเวต,อำเภอน้ำปาด,6
คูเวต,อำเภอพิมาย,6
คูเวต,อำเภอหนองฮี,6
คูเวต,อำเภอศรีบุญเรือง,6
คูเวต,อำเภอเถิน,6
คูเวต,อำเภอปัว,6
คูเวต,อำเภอภูพาน,5
คูเวต,อำเภอเมืองร้อยเอ็ด,5
คูเวต,อำเภอเมืองลำปาง,5
คูเวต,อำเภอเมืองชัยภูมิ,5
คูเวต,อำเภอเมืองสกลนคร,5
คูเวต,อำเภอหนองไผ่,5
คูเวต,อำเภอโชคชัย,5
คูเวต,อำเภอสหัสขันธ์,5
คูเวต,อำเภอภูซาง,5
คูเวต,อำเภอลำปลายมาศ,5
คูเวต,อำเภอเมืองพะเยา,4
คูเวต,อำเภอเพ็ญ,4
คูเวต,อำเภอศรีเมืองใหม่,4
คูเวต,อำเภอดอกคำใต้,4
คูเวต,อำเภอโพนนาแก้ว,4
คูเวต,อำเภอเมืองสมุทรปราการ,4
คูเวต,อำเภอบางพลี,4
คูเวต,อำเภอโพธิ์ศรีสุวรรณ,4
คูเวต,อำเภอนาคู,4
คูเวต,อำเภอเมืองมหาสารคาม,4
คูเวต,อำเภอบางกระทุ่ม,3
คูเวต,อำเภอคูเมือง,3
คูเวต,อำเภอหนองกุงศรี,3
คูเวต,อำเภอเมืองพิษณุโลก,3
คูเวต,อำเภอบ้านผือ,3
คูเวต,อำเภอวังทอง,3
คูเวต,อำเภอเมืองสุพรรณบุรี,3
คูเวต,อำเภอวังยาง,3
คูเวต,อำเภอสามเงา,3
คูเวต,อำเภอพังโคน,3
คูเวต,อำเภอเมืองอุบลราชธานี,3
คูเวต,อำเภอพญาเม็งราย,3
คูเวต,อำเภอพนา,3
คูเวต,อำเภอเมืองหนองบัวลำภู,3
คูเวต,อำเภอบรบือ,3
คูเวต,อำเภอชุมพวง,3
คูเวต,อำเภอบึงสามพัน,2
คูเวต,อำเภอคง,2
คูเวต,อำเภอหนองแสง,2
คูเวต,อำเภอบ้านสร้าง,2
คูเวต,อำเภอเซกา,2
คูเวต,อำเภอสองแคว,2
คูเวต,อำเภอทุ่งฝน,2
คูเวต,อำเภอพิชัย,2
คูเวต,อำเภอสีดา,2
คูเวต,อำเภอประโคนชัย,2
คูเวต,อำเภอแม่เมาะ,2
คูเวต,อำเภอเมืองยโสธร,2
คูเวต,อำเภอดอยสะเก็ด,2
คูเวต,อำเภอนาหว้า,2
คูเวต,อำเภอจักราช,2
คูเวต,เขตหลักสี่,2
คูเวต,อำเภอชุมแพ,2
คูเวต,อำเภอสีชมพู,2
คูเวต,อำเภอเมืองตาก,2
คูเวต,อำเภอสันกำแพง,2
คูเวต,อำเภอบางเสาธง,2
คูเวต,อำเภอนาแก,2
คูเวต,อำเภอศรีราชา,2
คูเวต,อำเภอบางใหญ่,2
คูเวต,อำเภอสามพราน,2
คูเวต,อำเภอตาคลี,2
คูเวต,อำเภอบางบัวทอง,2
คูเวต,อำเภอเมืองนครพนม,2
คูเวต,อำเภอพาน,2
คูเวต,อำเภอวังสะพุง,2
คูเวต,อำเภอขุนตาล,2
คูเวต,เขตดอนเมือง,2
คูเวต,อำเภอหนองสองห้อง,2
คูเวต,อำเภอทุ่งเสลี่ยม,2
คูเวต,อำเภอกันทรวิชัย,2
คูเวต,เขตพระโขนง,2
คูเวต,เขตคลองเตย,2
คูเวต,อำเภอเมืองสระบุรี,2
คูเวต,อำเภอเมืองบุรีรัมย์,2
คูเวต,อำเภอบางปะอิน,2
คูเวต,อำเภอสามชุก,2
คูเวต,เขตประเวศ,2
คูเวต,อำเภอเมืองจันทร์,2
คูเวต,อำเภอลำลูกกา,2
คูเวต,อำเภอประทาย,2
คูเวต,อำเภอปากคาด,2
คูเวต,อำเภอโนนสัง,2
คูเวต,อำเภอเมืองนนทบุรี,2
คูเวต,อำเภอธัญบุรี,2
คูเวต,อำเภอแม่สรวย,2
คูเวต,อำเภอห้วยแถลง,2
คูเวต,อำเภอเมืองชลบุรี,2
คูเวต,อำเภอปากเกร็ด,2
คูเวต,อำเภอวังน้ำเขียว,2
คูเวต,อำเภอตระการพืชผล,1
คูเวต,อำเภอธวัชบุรี,1
คูเวต,อำเภอเจริญศิลป์,1
คูเวต,อำเภอภูกระดึง,1
คูเวต,อำเภอขามสะแกแสง,1
คูเวต,อำเภออรัญประเทศ,1
คูเวต,อำเภอนาเชือก,1
คูเวต,อำเภอโนนนารายณ์,1
คูเวต,อำเภอกุดชุม,1
คูเวต,อำเภอมหาชนะชัย,1
คูเวต,อำเภอยางชุมน้อย,1
คูเวต,อำเภอแวงน้อย,1
คูเวต,อำเภอภูหลวง,1
คูเวต,อำเภอเกาะยาว,1
คูเวต,อำเภออากาศอำนวย,1
คูเวต,อำเภอคอนสาร,1
คูเวต,อำเภอสัตหีบ,1
คูเวต,อำเภอโพธาราม,1
คูเวต,อำเภอเมืองนครสวรรค์,1
คูเวต,อำเภอพระสมุทรเจดีย์,1
คูเวต,อำเภอบ้านดุง,1
คูเวต,อำเภอยะหา,1
คูเวต,อำเภอท่าบ่อ,1
คูเวต,อำเภอแม่สอด,1
คูเวต,อำเภอบ้านตาก,1
คูเวต,อำเภอพุทไธสง,1
คูเวต,อำเภอทรายทองวัฒนา,1
คูเวต,อำเภอแม่อาย,1
คูเวต,อำเภอแม่จัน,1
คูเวต,อำเภอหนองหิน,1
คูเวต,อำเภอชุมแสง,1
คูเวต,อำเภอภูกามยาว,1
คูเวต,อำเภอปักธงชัย,1
คูเวต,อำเภอบรรพตพิสัย,1
คูเวต,อำเภอบัวใหญ่,1
คูเวต,อำเภอเขมราฐ,1
คูเวต,อำเภอจอมพระ,1
คูเวต,อำเภอดอยเต่า,1
คูเวต,อำเภอเมืองแพร่,1
คูเวต,เขตมีนบุรี,1
คูเวต,อำเภอสามร้อยยอด,1
คูเวต,อำเภอเชียงแสน,1
คูเวต,อำเภอเมืองขอนแก่น,1
คูเวต,อำเภอไพศาลี,1
คูเวต,อำเภอรัตนวาปี,1
คูเวต,อำเภอเกษตรวิสัย,1
คูเวต,อำเภอพรเจริญ,1
คูเวต,อำเภอเปือยน้อย,1
คูเวต,อำเภอชะอำ,1
คูเวต,อำเภอห้วยผึ้ง,1
คูเวต,อำเภอบางระจัน,1
คูเวต,อำเภอประจันตคาม,1
คูเวต,อำเภอหัวหิน,1
คูเวต,อำเภอหนองบัว,1
คูเวต,เขตจอมทอง,1
คูเวต,อำเภอบึงโขงหลง,1
คูเวต,อำเภอโคกสูง,1
คูเวต,อำเภอเมืองสุโขทัย,1
คูเวต,เขตทุ่งครุ,1
คูเวต,อำเภอเมืองสมุทรสงคราม,1
คูเวต,อำเภอถลาง,1
คูเวต,อำเภอปลวกแดง,1
คูเวต,อำเภอหนองเสือ,1
