destination_country,education_level,worker_count
กาตาร์,มัธยมศึกษาตอนปลาย (ม.6),263
กาตาร์,มัธยมศึกษาตอนต้น (ม.3),153
กาตาร์,ประถมศึกษา (ป.6),146
กาตาร์,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),112
กาตาร์,ปริญญาตรี,110
กาตาร์,ประกาศนียบัตรวิชาชีพ (ปวช.),58
กาตาร์,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,20
กาตาร์,ประกาศนียบัตรวิชาชีพเทคนิค (ปวท.),2
กาตาร์,การฝึกอาชีพระยะสั้น (สถาบันพัฒนาฝีมือแรงงาน/สถาบันการฝึกอาชีพอื่นๆ),1
กาตาร์,ปริญญาเอก,1
โปแลนด์,มัธยมศึกษาตอนต้น (ม.3),214
โปแลนด์,ประถมศึกษา (ป.6),207
โปแลนด์,มัธยมศึกษาตอนปลาย (ม.6),116
โปแลนด์,ปริญญาตรี,76
โปแลนด์,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),39
โปแลนด์,ประกาศนียบัตรวิชาชีพ (ปวช.),37
โปแลนด์,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,15
โปแลนด์,ปริญญาโท,1
โปแลนด์,การฝึกอาชีพระยะสั้น (สถาบันพัฒนาฝีมือแรงงาน/สถาบันการฝึกอาชีพอื่นๆ),1
บาห์เรน,มัธยมศึกษาตอนปลาย (ม.6),169
บาห์เรน,มัธยมศึกษาตอนต้น (ม.3),166
บาห์เรน,ประถมศึกษา (ป.6),118
บาห์เรน,ปริญญาตรี,85
บาห์เรน,ประกาศนียบัตรวิชาชีพ (ปวช.),43
บาห์เรน,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),34
บาห์เรน,ปริญญาโท,3
บาห์เรน,อนุปริญญา,2
บาห์เรน,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,2
บาห์เรน,ประกาศนียบัตรวิชาชีพเทคนิค (ปวท.),1
อินโดนีเซีย,มัธยมศึกษาตอนปลาย (ม.6),161
อินโดนีเซีย,มัธยมศึกษาตอนต้น (ม.3),149
อินโดนีเซีย,ประถมศึกษา (ป.6),119
อินโดนีเซีย,ปริญญาตรี,83
อินโดนีเซีย,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),36
อินโดนีเซีย,ประกาศนียบัตรวิชาชีพ (ปวช.),32
อินโดนีเซีย,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,7
อินโดนีเซีย,อนุปริญญา,2
อินโดนีเซีย,ปริญญาโท,1
อินโดนีเซีย,ประกาศนียบัตรวิชาชีพเทคนิค (ปวท.),1
ซาอุดีอาระเบีย,มัธยมศึกษาตอนต้น (ม.3),155
ซาอุดีอาระเบีย,มัธยมศึกษาตอนปลาย (ม.6),135
ซาอุดีอาระเบีย,ประถมศึกษา (ป.6),133
ซาอุดีอาระเบีย,ปริญญาตรี,70
ซาอุดีอาระเบีย,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),62
ซาอุดีอาระเบีย,ประกาศนียบัตรวิชาชีพ (ปวช.),43
ซาอุดีอาระเบีย,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,11
ซาอุดีอาระเบีย,อนุปริญญา,1
สวิตเซอร์แลนด์,ประถมศึกษา (ป.6),179
สวิตเซอร์แลนด์,มัธยมศึกษาตอนต้น (ม.3),99
สวิตเซอร์แลนด์,ปริญญาตรี,62
สวิตเซอร์แลนด์,มัธยมศึกษาตอนปลาย (ม.6),48
สวิตเซอร์แลนด์,ประกาศนียบัตรวิชาชีพ (ปวช.),25
สวิตเซอร์แลนด์,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),22
สวิตเซอร์แลนด์,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,15
สวิตเซอร์แลนด์,ปริญญาโท,8
สวิตเซอร์แลนด์,อนุปริญญา,2
สวิตเซอร์แลนด์,ไม่ระบุวุฒิการศึกษา,1
มาเก๊า,มัธยมศึกษาตอนปลาย (ม.6),175
มาเก๊า,ประถมศึกษา (ป.6),93
มาเก๊า,มัธยมศึกษาตอนต้น (ม.3),57
มาเก๊า,ปริญญาตรี,49
มาเก๊า,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),37
มาเก๊า,ประกาศนียบัตรวิชาชีพ (ปวช.),22
มาเก๊า,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,14
มาเก๊า,ปริญญาโท,2
มาเก๊า,ประกาศนียบัตรครู (ปก.ศ.ต้น),1
มาเก๊า,ปริญญาเอก,1
มาเก๊า,มัธยมศึกษาตอนต้น (ม.3),124
มาเก๊า,มัธยมศึกษาตอนปลาย (ม.6),85
มาเก๊า,ประถมศึกษา (ป.6),58
มาเก๊า,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),55
มาเก๊า,ประกาศนียบัตรวิชาชีพ (ปวช.),40
มาเก๊า,ปริญญาตรี,17
มาเก๊า,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,9
อินเดีย,มัธยมศึกษาตอนปลาย (ม.6),126
อินเดีย,มัธยมศึกษาตอนต้น (ม.3),86
อินเดีย,ปริญญาตรี,52
อินเดีย,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),24
อินเดีย,ประกาศนียบัตรวิชาชีพ (ปวช.),20
อินเดีย,ประถมศึกษา (ป.6),16
อินเดีย,ประกาศนียบัตรวิชาชีพเทคนิค (ปวท.),2
อินเดีย,อนุปริญญา,1
เยอรมนี,ปริญญาตรี,112
เยอรมนี,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),42
เยอรมนี,มัธยมศึกษาตอนปลาย (ม.6),41
เยอรมนี,ประถมศึกษา (ป.6),36
เยอรมนี,มัธยมศึกษาตอนต้น (ม.3),34
เยอรมนี,ปริญญาโท,19
เยอรมนี,ประกาศนียบัตรวิชาชีพ (ปวช.),10
เยอรมนี,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,3
เยอรมนี,ปริญญาเอก,2
เยอรมนี,ไม่ระบุวุฒิการศึกษา,1
คาซัคสถาน,มัธยมศึกษาตอนปลาย (ม.6),79
คาซัคสถาน,มัธยมศึกษาตอนต้น (ม.3),49
คาซัคสถาน,ประถมศึกษา (ป.6),41
คาซัคสถาน,ปริญญาตรี,34
คาซัคสถาน,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),19
คาซัคสถาน,ประกาศนียบัตรวิชาชีพ (ปวช.),7
ฟิลิปปินส์,ประถมศึกษา (ป.6),97
ฟิลิปปินส์,มัธยมศึกษาตอนปลาย (ม.6),43
ฟิลิปปินส์,มัธยมศึกษาตอนต้น (ม.3),40
ฟิลิปปินส์,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),8
ฟิลิปปินส์,ประกาศนียบัตรวิชาชีพ (ปวช.),5
ฟิลิปปินส์,ปริญญาตรี,5
ฟิลิปปินส์,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,3
ฟิลิปปินส์,มัธยมศึกษาตอนปลาย (ม.6),57
ฟิลิปปินส์,มัธยมศึกษาตอนต้น (ม.3),54
ฟิลิปปินส์,ประถมศึกษา (ป.6),42
ฟิลิปปินส์,ประกาศนียบัตรวิชาชีพ (ปวช.),14
ฟิลิปปินส์,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),10
ฟิลิปปินส์,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,5
ฟิลิปปินส์,ปริญญาตรี,1
ฟิลิปปินส์,ปริญญาโท,1
ไซปรัส,ปริญญาตรี,216
ไซปรัส,มัธยมศึกษาตอนปลาย (ม.6),57
ไซปรัส,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),26
ไซปรัส,มัธยมศึกษาตอนต้น (ม.3),16
ไซปรัส,ประกาศนียบัตรวิชาชีพ (ปวช.),14
ไซปรัส,ประถมศึกษา (ป.6),13
ไซปรัส,ไม่ระบุวุฒิการศึกษา,11
ไซปรัส,ปริญญาโท,5
ไซปรัส,ประกาศนียบัตรวิชาชีพเทคนิค (ปวท.),2
ไซปรัส,ประกาศนียบัตรครู (ปก.ศ.ต้น),1
ไซปรัส,ปริญญาตรี,63
ไซปรัส,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),35
ไซปรัส,ประถมศึกษา (ป.6),28
ไซปรัส,มัธยมศึกษาตอนปลาย (ม.6),22
ไซปรัส,มัธยมศึกษาตอนต้น (ม.3),20
ไซปรัส,ปริญญาโท,6
ไซปรัส,ประกาศนียบัตรวิชาชีพ (ปวช.),5
เวียดนาม,มัธยมศึกษาตอนปลาย (ม.6),43
เวียดนาม,ปริญญาตรี,43
เวียดนาม,มัธยมศึกษาตอนต้น (ม.3),27
เวียดนาม,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),22
เวียดนาม,ประถมศึกษา (ป.6),18
เวียดนาม,ประกาศนียบัตรวิชาชีพ (ปวช.),8
เวียดนาม,การฝึกอาชีพระยะสั้น (สถาบันพัฒนาฝีมือแรงงาน/สถาบันการฝึกอาชีพอื่นๆ),1
แอฟริกาใต้,ปริญญาตรี,35
แอฟริกาใต้,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),34
แอฟริกาใต้,มัธยมศึกษาตอนปลาย (ม.6),26
แอฟริกาใต้,มัธยมศึกษาตอนต้น (ม.3),20
แอฟริกาใต้,ประกาศนียบัตรวิชาชีพ (ปวช.),14
แอฟริกาใต้,ประถมศึกษา (ป.6),10
แอฟริกาใต้,ปริญญาโท,5
แอฟริกาใต้,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,3
แอฟริกาใต้,ไม่ระบุวุฒิการศึกษา,3
แอฟริกาใต้,ประกาศนียบัตรวิชาชีพเทคนิค (ปวท.),1
โครเอเชีย,มัธยมศึกษาตอนต้น (ม.3),54
โครเอเชีย,ประถมศึกษา (ป.6),29
โครเอเชีย,มัธยมศึกษาตอนปลาย (ม.6),19
โครเอเชีย,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),17
โครเอเชีย,ปริญญาตรี,11
โครเอเชีย,ประกาศนียบัตรวิชาชีพ (ปวช.),10
โครเอเชีย,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,3
โครเอเชีย,ปริญญาโท,3
โครเอเชีย,ไม่ระบุวุฒิการศึกษา,2
ตุรกี,มัธยมศึกษาตอนต้น (ม.3),54
ตุรกี,ปริญญาตรี,33
ตุรกี,มัธยมศึกษาตอนปลาย (ม.6),26
ตุรกี,ประถมศึกษา (ป.6),14
ตุรกี,ประกาศนียบัตรวิชาชีพ (ปวช.),10
ตุรกี,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),7
ตุรกี,ปริญญาโท,1
สเปน,มัธยมศึกษาตอนต้น (ม.3),41
สเปน,มัธยมศึกษาตอนปลาย (ม.6),30
สเปน,ประถมศึกษา (ป.6),25
สเปน,ปริญญาตรี,19
สเปน,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),12
สเปน,ประกาศนียบัตรวิชาชีพ (ปวช.),8
สเปน,อนุปริญญา,1
โอมาน,มัธยมศึกษาตอนปลาย (ม.6),46
โอมาน,มัธยมศึกษาตอนต้น (ม.3),32
โอมาน,ประถมศึกษา (ป.6),23
โอมาน,ปริญญาตรี,12
โอมาน,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),10
โอมาน,ประกาศนียบัตรวิชาชีพ (ปวช.),4
บังกลาเทศ,มัธยมศึกษาตอนปลาย (ม.6),31
บังกลาเทศ,ประถมศึกษา (ป.6),26
บังกลาเทศ,มัธยมศึกษาตอนต้น (ม.3),24
บังกลาเทศ,ปริญญาตรี,24
บังกลาเทศ,ประกาศนียบัตรวิชาชีพ (ปวช.),9
บังกลาเทศ,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),7
บังกลาเทศ,ประกาศนียบัตรครู (ปก.ศ.ต้น),1
เดนมาร์ก,ปริญญาตรี,52
เดนมาร์ก,ประถมศึกษา (ป.6),22
เดนมาร์ก,ไม่ระบุวุฒิการศึกษา,18
เดนมาร์ก,มัธยมศึกษาตอนปลาย (ม.6),10
เดนมาร์ก,มัธยมศึกษาตอนต้น (ม.3),5
เดนมาร์ก,ปริญญาโท,5
เดนมาร์ก,ประกาศนียบัตรวิชาชีพ (ปวช.),5
เดนมาร์ก,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),3
อิตาลี,มัธยมศึกษาตอนปลาย (ม.6),41
อิตาลี,มัธยมศึกษาตอนต้น (ม.3),35
อิตาลี,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),11
อิตาลี,ประถมศึกษา (ป.6),9
อิตาลี,ประกาศนียบัตรวิชาชีพ (ปวช.),6
อิตาลี,ปริญญาตรี,5
อิตาลี,ไม่ระบุวุฒิการศึกษา,1
จอร์แดน,ปริญญาตรี,46
จอร์แดน,ประถมศึกษา (ป.6),18
จอร์แดน,มัธยมศึกษาตอนปลาย (ม.6),17
จอร์แดน,มัธยมศึกษาตอนต้น (ม.3),12
จอร์แดน,ประกาศนียบัตรวิชาชีพ (ปวช.),6
จอร์แดน,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),4
จอร์แดน,ไม่ระบุวุฒิการศึกษา,3
จอร์แดน,ปริญญาโท,1
เกิร์นซีย์,ปริญญาตรี,57
เกิร์นซีย์,มัธยมศึกษาตอนปลาย (ม.6),13
เกิร์นซีย์,มัธยมศึกษาตอนต้น (ม.3),7
เกิร์นซีย์,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),5
เกิร์นซีย์,ประกาศนียบัตรวิชาชีพ (ปวช.),4
เกิร์นซีย์,ปริญญาโท,2
เกิร์นซีย์,ประถมศึกษา (ป.6),2
เกิร์นซีย์,การฝึกอาชีพระยะสั้น (สถาบันพัฒนาฝีมือแรงงาน/สถาบันการฝึกอาชีพอื่นๆ),1
อิหร่าน,ปริญญาตรี,60
อิหร่าน,มัธยมศึกษาตอนปลาย (ม.6),13
อิหร่าน,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),5
อิหร่าน,ประถมศึกษา (ป.6),2
อิหร่าน,ประกาศนียบัตรวิชาชีพ (ปวช.),2
อิหร่าน,การฝึกอาชีพระยะสั้น (สถาบันพัฒนาฝีมือแรงงาน/สถาบันการฝึกอาชีพอื่นๆ),1
อิหร่าน,มัธยมศึกษาตอนต้น (ม.3),1
อิหร่าน,ปริญญาโท,1
ฝรั่งเศส,ปริญญาตรี,23
ฝรั่งเศส,มัธยมศึกษาตอนปลาย (ม.6),17
ฝรั่งเศส,ประถมศึกษา (ป.6),11
ฝรั่งเศส,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),10
ฝรั่งเศส,มัธยมศึกษาตอนต้น (ม.3),9
ฝรั่งเศส,ไม่ระบุวุฒิการศึกษา,6
ฝรั่งเศส,ประกาศนียบัตรวิชาชีพ (ปวช.),4
ฝรั่งเศส,ปริญญาโท,3
ฝรั่งเศส,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,1
ฝรั่งเศส,ประถมศึกษา (ป.6),44
ฝรั่งเศส,มัธยมศึกษาตอนต้น (ม.3),21
ฝรั่งเศส,มัธยมศึกษาตอนปลาย (ม.6),14
ฝรั่งเศส,ประกาศนียบัตรวิชาชีพ (ปวช.),2
ฝรั่งเศส,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),2
ยูเครน,ปริญญาตรี,22
ยูเครน,ประถมศึกษา (ป.6),15
ยูเครน,มัธยมศึกษาตอนปลาย (ม.6),13
ยูเครน,มัธยมศึกษาตอนต้น (ม.3),13
ยูเครน,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),9
ยูเครน,ประกาศนียบัตรวิชาชีพ (ปวช.),5
ยูเครน,ไม่ได้รับการศึกษา หรือต่ำกว่าประถมศึกษา,1
ยูเครน,ปริญญาโท,1
ยูเครน,ปริญญาตรี,29
ยูเครน,มัธยมศึกษาตอนปลาย (ม.6),14
ยูเครน,มัธยมศึกษาตอนต้น (ม.3),14
ยูเครน,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),8
ยูเครน,ประถมศึกษา (ป.6),7
ยูเครน,ประกาศนียบัตรวิชาชีพ (ปวช.),3
ยูเครน,อนุปริญญา,2
อุซเบกิสถาน,มัธยมศึกษาตอนปลาย (ม.6),21
อุซเบกิสถาน,มัธยมศึกษาตอนต้น (ม.3),20
อุซเบกิสถาน,ประถมศึกษา (ป.6),18
อุซเบกิสถาน,ปริญญาตรี,10
อุซเบกิสถาน,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),4
