destination_country,gender,worker_count
คูเวต,ชาย,640
คูเวต,หญิง,226
ไอร์แลนด์,ชาย,562
ไอร์แลนด์,หญิง,244
โปแลนด์,ชาย,506
โปแลนด์,หญิง,200
โปแลนด์,หญิง,367
โปแลนด์,ชาย,327
บาห์เรน,หญิง,367
บาห์เรน,ชาย,327
เช็ก,หญิง,370
เช็ก,ชาย,240
อินโดนีเซีย,หญิง,469
อินโดนีเซีย,ชาย,154
อินโดนีเซีย,หญิง,370
อินโดนีเซีย,ชาย,240
อินโดนีเซีย,หญิง,569
อินโดนีเซีย,ชาย,22
อินโดนีเซีย,ชาย,445
อินโดนีเซีย,หญิง,16
ซาอุดีอาระเบีย,ชาย,445
ซาอุดีอาระเบีย,หญิง,16
สวิตเซอร์แลนด์,ชาย,262
สวิตเซอร์แลนด์,หญิง,189
มาเก๊า,ชาย,262
มาเก๊า,หญิง,189
มาเก๊า,ชาย,378
มาเก๊า,หญิง,10
กรีซ,หญิง,281
กรีซ,ชาย,80
อินเดีย,หญิง,203
อินเดีย,ชาย,124
อังกฤษ,หญิง,203
อังกฤษ,ชาย,124
เยอรมนี,หญิง,124
เยอรมนี,ชาย,110
เยอรมนี,ชาย,251
เยอรมนี,หญิง,49
แอลจีเรีย,ชาย,184
แอลจีเรีย,หญิง,45
แอลจีเรีย,หญิง,124
แอลจีเรีย,ชาย,110
ฟิลิปปินส์,ชาย,184
ฟิลิปปินส์,หญิง,45
ฟิลิปปินส์,ชาย,103
ฟิลิปปินส์,หญิง,81
ฟิลิปปินส์,ชาย,201
ไซปรัส,ชาย,103
ไซปรัส,หญิง,81
เวียดนาม,ชาย,159
เวียดนาม,หญิง,20
เวียดนาม,หญิง,121
เวียดนาม,ชาย,41
แอฟริกาใต้,ชาย,139
แอฟริกาใต้,หญิง,12
โครเอเชีย,ชาย,137
โครเอเชีย,หญิง,11
นอร์เวย์,หญิง,138
นอร์เวย์,ชาย,9
สเปน,หญิง,92
สเปน,ชาย,44
สเปน,ชาย,99
สเปน,หญิง,46
เนเธอร์แลนด์,ชาย,69
เนเธอร์แลนด์,หญิง,65
โอมาน,ชาย,123
โอมาน,หญิง,4
บังกลาเทศ,ชาย,68
บังกลาเทศ,หญิง,54
เดนมาร์ก,ชาย,99
เดนมาร์ก,หญิง,21
เมียนมา,ชาย,61
เมียนมา,หญิง,44
เมียนมา,หญิง,68
เมียนมา,ชาย,39
ปานามา,ชาย,103
ปานามา,หญิง,5
ปานามา,ชาย,61
ปานามา,หญิง,44
ปานามา,หญิง,68
ปานามา,ชาย,39
ปานามา,ชาย,80
ปานามา,หญิง,19
เกิร์นซีย์,หญิง,51
เกิร์นซีย์,ชาย,40
เกิร์นซีย์,ชาย,80
เกิร์นซีย์,หญิง,19
จีน,หญิง,59
จีน,ชาย,26
อิหร่าน,ชาย,56
อิหร่าน,หญิง,28
มอลตา,ชาย,81
มอลตา,หญิง,2
มอลตา,ชาย,48
มอลตา,หญิง,31
ยูเครน,หญิง,46
ยูเครน,ชาย,31
อุซเบกิสถาน,หญิง,71
อุซเบกิสถาน,ชาย,5
สโลวีเนีย,หญิง,71
สโลวีเนีย,ชาย,5
สโลวีเนีย,ชาย,75
มัลดีฟส์,หญิง,69
มัลดีฟส์,ชาย,1
กัมพูชา,หญิง,58
กัมพูชา,ชาย,8
กัมพูชา,หญิง,69
กัมพูชา,ชาย,1
ซูดานใต้,ชาย,42
ซูดานใต้,หญิง,15
ซูดานใต้,ชาย,33
ซูดานใต้,หญิง,29
สโลวาเกีย,ชาย,33
สโลวาเกีย,หญิง,29
โมร็อกโก,หญิง,57
โมร็อกโก,ชาย,42
โมร็อกโก,หญิง,15
สหราชอาณาจักร,หญิง,33
สหราชอาณาจักร,ชาย,19
โมซัมบิก,หญิง,34
โมซัมบิก,ชาย,14
กรีนแลนด์,ชาย,45
กรีนแลนด์,หญิง,1
กรีนแลนด์,หญิง,36
กรีนแลนด์,ชาย,8
ปาปัวนิวกินี,หญิง,22
ปาปัวนิวกินี,ชาย,19
ไนจีเรีย,ชาย,32
ไนจีเรีย,หญิง,9
อียิปต์,หญิง,22
อียิปต์,ชาย,19
อียิปต์,ชาย,39
อียิปต์,หญิง,2
เบอร์มิวดา,ชาย,21
เบอร์มิวดา,หญิง,19
หมู่เกาะนอร์เทิร์นมาเรียนา,หญิง,29
หมู่เกาะนอร์เทิร์นมาเรียนา,ชาย,9
ลัตเวีย,หญิง,32
ลัตเวีย,ชาย,4
บัลแกเรีย,หญิง,32
เลบานอน,หญิง,27
เลบานอน,ชาย,1
โคลอมเบีย,หญิง,32
ออสเตรเลีย,ชาย,14
ออสเตรเลีย,หญิง,13
ออสเตรเลีย,หญิง,25
ออสเตรเลีย,ชาย,1
เซเชลส์,ชาย,14
เซเชลส์,หญิง,13
หมู่เกาะเคย์แมน,หญิง,14
หมู่เกาะเคย์แมน,ชาย,11
ศรีลังกา,หญิง,16
ศรีลังกา,ชาย,8
โรมาเนีย,ชาย,18
โรมาเนีย,หญิง,3
อิเควทอเรียลกินี,ชาย,11
อิเควทอเรียลกินี,หญิง,10
เอสวาตินี,ชาย,19
เอสวาตินี,ชาย,11
เอสวาตินี,หญิง,10
โมนาโก,ชาย,18
โมนาโก,ชาย,19
มาดากัสการ์,ชาย,12
