destination_country,travel_method,worker_count
กาตาร์,เดินทางด้วยตนเอง,648
กาตาร์,RE-ENTRY,181
กาตาร์,VISA RE-ENTRY,37
ไอร์แลนด์,เดินทางด้วยตนเอง,302
ไอร์แลนด์,RE-ENTRY,255
ไอร์แลนด์,VISA RE-ENTRY,122
ไอร์แลนด์,บริษัทจัดส่ง,20
ไอร์แลนด์,กรมจัดส่ง,4
ไอร์แลนด์,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,3
โปแลนด์,เดินทางด้วยตนเอง,302
โปแลนด์,RE-ENTRY,255
โปแลนด์,VISA RE-ENTRY,122
โปแลนด์,บริษัทจัดส่ง,20
โปแลนด์,กรมจัดส่ง,4
โปแลนด์,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,3
บาห์เรน,เดินทางด้วยตนเอง,278
บาห์เรน,VISA RE-ENTRY,177
บาห์เรน,RE-ENTRY,128
บาห์เรน,บริษัทจัดส่ง,111
เช็ก,RE-ENTRY,236
เช็ก,VISA RE-ENTRY,232
เช็ก,เดินทางด้วยตนเอง,128
เช็ก,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,14
เช็ก,เดินทางด้วยตนเอง,278
เช็ก,VISA RE-ENTRY,177
เช็ก,RE-ENTRY,128
เช็ก,บริษัทจัดส่ง,111
อินโดนีเซีย,RE-ENTRY,236
อินโดนีเซีย,VISA RE-ENTRY,232
อินโดนีเซีย,เดินทางด้วยตนเอง,128
อินโดนีเซีย,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,14
อินโดนีเซีย,VISA RE-ENTRY,205
อินโดนีเซีย,RE-ENTRY,197
อินโดนีเซีย,เดินทางด้วยตนเอง,187
อินโดนีเซีย,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,2
ซาอุดีอาระเบีย,RE-ENTRY,191
ซาอุดีอาระเบีย,VISA RE-ENTRY,158
ซาอุดีอาระเบีย,เดินทางด้วยตนเอง,89
ซาอุดีอาระเบีย,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,22
ซาอุดีอาระเบีย,นายจ้างส่งลูกจ้างไปฝึกงานในต่างประเทศ,1
สวิตเซอร์แลนด์,บริษัทจัดส่ง,234
สวิตเซอร์แลนด์,RE-ENTRY,132
สวิตเซอร์แลนด์,VISA RE-ENTRY,77
สวิตเซอร์แลนด์,เดินทางด้วยตนเอง,6
สวิตเซอร์แลนด์,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,2
มาเก๊า,บริษัทจัดส่ง,234
มาเก๊า,RE-ENTRY,132
มาเก๊า,VISA RE-ENTRY,77
มาเก๊า,เดินทางด้วยตนเอง,6
มาเก๊า,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,2
อินเดีย,บริษัทจัดส่ง,286
อินเดีย,เดินทางด้วยตนเอง,24
อินเดีย,RE-ENTRY,11
อินเดีย,VISA RE-ENTRY,6
เยอรมนี,RE-ENTRY,164
เยอรมนี,VISA RE-ENTRY,58
เยอรมนี,เดินทางด้วยตนเอง,55
เยอรมนี,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,19
เยอรมนี,บริษัทจัดหางานคนประจำเรือ,4
คาซัคสถาน,RE-ENTRY,136
คาซัคสถาน,เดินทางด้วยตนเอง,64
คาซัคสถาน,VISA RE-ENTRY,1
คาซัคสถาน,เดินทางด้วยตนเอง,132
คาซัคสถาน,RE-ENTRY,70
คาซัคสถาน,VISA RE-ENTRY,24
คาซัคสถาน,บริษัทจัดส่ง,2
คาซัคสถาน,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,1
ฟิลิปปินส์,RE-ENTRY,77
ฟิลิปปินส์,เดินทางด้วยตนเอง,62
ฟิลิปปินส์,VISA RE-ENTRY,45
ไซปรัส,เดินทางด้วยตนเอง,173
ไซปรัส,กรมจัดส่ง,112
ไซปรัส,RE-ENTRY,44
ไซปรัส,VISA RE-ENTRY,29
ไซปรัส,บริษัทจัดส่ง,3
เวียดนาม,เดินทางด้วยตนเอง,87
เวียดนาม,VISA RE-ENTRY,46
เวียดนาม,RE-ENTRY,29
เวียดนาม,RE-ENTRY,136
เวียดนาม,เดินทางด้วยตนเอง,64
เวียดนาม,VISA RE-ENTRY,1
โครเอเชีย,RE-ENTRY,90
โครเอเชีย,บริษัทจัดส่ง,42
โครเอเชีย,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,12
โครเอเชีย,เดินทางด้วยตนเอง,2
โครเอเชีย,VISA RE-ENTRY,2
นอร์เวย์,เดินทางด้วยตนเอง,111
นอร์เวย์,RE-ENTRY,21
นอร์เวย์,VISA RE-ENTRY,15
ตุรกี,เดินทางด้วยตนเอง,118
ตุรกี,บริษัทจัดหางานคนประจำเรือ,10
ตุรกี,VISA RE-ENTRY,9
ตุรกี,RE-ENTRY,6
ตุรกี,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,1
ตุรกี,บริษัทจัดส่ง,1
สเปน,เดินทางด้วยตนเอง,111
สเปน,RE-ENTRY,21
สเปน,VISA RE-ENTRY,15
สเปน,เดินทางด้วยตนเอง,74
สเปน,RE-ENTRY,36
สเปน,VISA RE-ENTRY,26
เนเธอร์แลนด์,เดินทางด้วยตนเอง,74
เนเธอร์แลนด์,RE-ENTRY,36
เนเธอร์แลนด์,VISA RE-ENTRY,26
เนเธอร์แลนด์,VISA RE-ENTRY,56
เนเธอร์แลนด์,เดินทางด้วยตนเอง,40
เนเธอร์แลนด์,RE-ENTRY,38
โอมาน,บริษัทจัดส่ง,96
โอมาน,RE-ENTRY,15
โอมาน,เดินทางด้วยตนเอง,8
โอมาน,VISA RE-ENTRY,7
โอมาน,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,1
โอมาน,RE-ENTRY,57
โอมาน,VISA RE-ENTRY,35
โอมาน,เดินทางด้วยตนเอง,30
เดนมาร์ก,RE-ENTRY,67
เดนมาร์ก,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,48
เดนมาร์ก,VISA RE-ENTRY,5
จอร์แดน,RE-ENTRY,44
จอร์แดน,นายจ้างส่งลูกจ้างไปฝึกงานในต่างประเทศ,27
จอร์แดน,VISA RE-ENTRY,18
จอร์แดน,เดินทางด้วยตนเอง,11
จอร์แดน,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,7
เมียนมา,บริษัทจัดส่ง,77
เมียนมา,VISA RE-ENTRY,20
เมียนมา,RE-ENTRY,6
เมียนมา,เดินทางด้วยตนเอง,2
ฝรั่งเศส,RE-ENTRY,29
ฝรั่งเศส,นายจ้างส่งลูกจ้างไปฝึกงานในต่างประเทศ,21
ฝรั่งเศส,เดินทางด้วยตนเอง,15
ฝรั่งเศส,VISA RE-ENTRY,12
ฝรั่งเศส,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,6
ฝรั่งเศส,บริษัทจัดหางานคนประจำเรือ,1
ฝรั่งเศส,เดินทางด้วยตนเอง,69
ฝรั่งเศส,RE-ENTRY,14
มอลตา,เดินทางด้วยตนเอง,69
มอลตา,RE-ENTRY,14
มอลตา,RE-ENTRY,29
มอลตา,นายจ้างส่งลูกจ้างไปฝึกงานในต่างประเทศ,21
มอลตา,เดินทางด้วยตนเอง,15
มอลตา,VISA RE-ENTRY,12
มอลตา,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,6
มอลตา,บริษัทจัดหางานคนประจำเรือ,1
ยูเครน,เดินทางด้วยตนเอง,30
ยูเครน,RE-ENTRY,29
ยูเครน,VISA RE-ENTRY,20
อุซเบกิสถาน,เดินทางด้วยตนเอง,56
อุซเบกิสถาน,RE-ENTRY,16
อุซเบกิสถาน,VISA RE-ENTRY,4
สโลวีเนีย,เดินทางด้วยตนเอง,56
สโลวีเนีย,RE-ENTRY,16
สโลวีเนีย,VISA RE-ENTRY,4
สโลวีเนีย,VISA RE-ENTRY,45
สโลวีเนีย,RE-ENTRY,25
สโลวีเนีย,เดินทางด้วยตนเอง,4
สโลวีเนีย,นายจ้างส่งลูกจ้างไปฝึกงานในต่างประเทศ,1
มัลดีฟส์,เดินทางด้วยตนเอง,41
มัลดีฟส์,RE-ENTRY,18
มัลดีฟส์,VISA RE-ENTRY,11
กัมพูชา,RE-ENTRY,24
กัมพูชา,เดินทางด้วยตนเอง,21
กัมพูชา,VISA RE-ENTRY,21
สโลวาเกีย,VISA RE-ENTRY,36
สโลวาเกีย,RE-ENTRY,21
โมร็อกโก,RE-ENTRY,24
โมร็อกโก,เดินทางด้วยตนเอง,20
โมร็อกโก,VISA RE-ENTRY,13
สหราชอาณาจักร,RE-ENTRY,19
สหราชอาณาจักร,VISA RE-ENTRY,17
สหราชอาณาจักร,เดินทางด้วยตนเอง,16
เซอร์เบีย,RE-ENTRY,28
เซอร์เบีย,บริษัทจัดส่ง,15
เซอร์เบีย,VISA RE-ENTRY,3
กรีนแลนด์,เดินทางด้วยตนเอง,33
กรีนแลนด์,VISA RE-ENTRY,7
กรีนแลนด์,RE-ENTRY,4
ปาปัวนิวกินี,VISA RE-ENTRY,16
ปาปัวนิวกินี,RE-ENTRY,14
ปาปัวนิวกินี,เดินทางด้วยตนเอง,11
ไนจีเรีย,RE-ENTRY,18
ไนจีเรีย,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,10
ไนจีเรีย,เดินทางด้วยตนเอง,8
ไนจีเรีย,VISA RE-ENTRY,5
อียิปต์,เดินทางด้วยตนเอง,15
อียิปต์,RE-ENTRY,14
