province,worker_count
อุดรธานี,35547
นครราชสีมา,19573
เชียงราย,13794
ขอนแก่น,12580
สกลนคร,11455
นครพนม,11369
บุรีรัมย์,11290
ชัยภูมิ,10995
หนองคาย,9488
หนองบัวลำภู,8610
อุบลราชธานี,7779
ลำปาง,5492
สุรินทร์,5445
มหาสารคาม,5429
สุโขทัย,4367
กรุงเทพมหานคร,4359
เชียงใหม่,4153
บึงกาฬ,3737
ตาก,3624
ศรีสะเกษ,3338
กาฬสินธุ์,3305
ร้อยเอ็ด,3122
ปัตตานี,2816
กำแพงเพชร,2769
พะเยา,2627
เพชรบูรณ์,2402
ชลบุรี,2331
พิษณุโลก,2225
น่าน,2169
สงขลา,2139
สตูล,1999
เลย,1898
นครสวรรค์,1645
สมุทรปราการ,1530
อุตรดิตถ์,1468
ระยอง,1412
ปทุมธานี,1368
ยโสธร,1306
มุกดาหาร,1167
ลำพูน,1152
สระแก้ว,1108
อำนาจเจริญ,1085
แพร่,1018
นนทบุรี,949
พิจิตร,915
พระนครศรีอยุธยา,778
ฉะเชิงเทรา,768
ยะลา,732
ตรัง,649
นราธิวาส,649
ปราจีนบุรี,621
กาญจนบุรี,583
ลพบุรี,548
นครปฐม,536
สระบุรี,525
นครศรีธรรมราช,490
สุพรรณบุรี,458
สมุทรสาคร,416
ราชบุรี,373
อุทัยธานี,361
แม่ฮ่องสอน,345
ภูเก็ต,336
ประจวบคีรีขันธ์,335
ชัยนาท,301
จันทบุรี,239
อ่างทอง,239
สุราษฎร์ธานี,231
พัทลุง,207
เพชรบุรี,186
สิงห์บุรี,177
ชุมพร,167
นครนายก,166
กระบี่,121
ตราด,116
พังงา,111
สมุทรสงคราม,73
ระนอง,72
