destination_country,standard_job_title,worker_count
คูเวต,ดูแลโดยสถานเอกอัครราชทูตไทยในต่างประเทศ,866
กาตาร์,เกษตรไร่องุ่น,435
กาตาร์,กุ๊ก (อาหารไทย),95
กาตาร์,กุ๊ก,65
กาตาร์,บรรจุหีบห่อ,50
กาตาร์,เกษตรกรสวนผลไม้,44
กาตาร์,นวดแผนโบราณ,36
กาตาร์,คนงานเกษตร,31
กาตาร์,เกษตรกรเก็บผลไม้ในฟาร์ม,13
กาตาร์,พ่อครัวอาหารไทย,12
กาตาร์,เกษตรกรทั่วไป,12
กาตาร์,เกษตรกรเก็บผลไม้ป่า,10
กาตาร์,ผู้ช่วยกุ๊ก,7
กาตาร์,คนงานในฟาร์มทั่วไป,6
กาตาร์,พ่อครัวชั้นหนึ่ง,5
กาตาร์,ผู้ทำงานในสวนไม้ผล ไม้ต้น องุ่น ไม้พุ่ม,4
กาตาร์,ผู้ทำงานในสวนไม้ผล สวนองุ่นสวนต้นไม้ และสวนไม้พุ่มอื่น ๆ,4
กาตาร์,ช่างแต่งเล็บ,3
กาตาร์,คนทำสวน,2
กาตาร์,พนักงานบริการเครื่องดื่ม,2
กาตาร์,พนักงานในครัว,2
กาตาร์,พนักงานเสริฟ,2
กาตาร์,คนงานทั่วไป,2
กาตาร์,ผู้จัดการบริการขายอาหารและที่พักอื่น ๆ,2
กาตาร์,ผู้ปรุงอาหาร (ยกเว้นงานส่วนบุคคล),2
กาตาร์,ผู้จัดการทั่วไป,2
กาตาร์,กุ๊ก (อาหารญีปุ่น),2
กาตาร์,ทำความสะอาด,2
กาตาร์,พนักงานดูแลห้องพัก,1
กาตาร์,แม่บ้าน,1
กาตาร์,ผู้จัดการแผนกห้องอาหาร,1
กาตาร์,หัวหน้าคนงานประจำสวนองุ่น,1
กาตาร์,วิศวกรรักษาความปลอดภัย,1
กาตาร์,ผู้จัดการ Q.A.,1
กาตาร์,ผู้ปรุงอาหารอื่น ๆ,1
กาตาร์,เชฟ เดอ ปาร์ดี้ ชาย,1
กาตาร์,ผู้ปฏิบัติงานในกรรมวิธีการทำอาหารและเครื่องดื่มอื่น ๆ,1
กาตาร์,ผู้เลี้ยงผึ้ง,1
กาตาร์,ผู้ปรุงอาหาร,1
กาตาร์,หัวหน้าพ่อครัวมือ 1,1
กาตาร์,ช่างเสริมสวย,1
กาตาร์,หัวหน้าแผนกแม่บ้าน,1
กาตาร์,คนงานเกษตร,42247
กาตาร์,ผลิตผลิตภัณฑ์โลหะ,20864
กาตาร์,คนงานอุตสาหกรรมทั่วไป,17296
กาตาร์,คนงานทั่วไป,15372
กาตาร์,กรรมกรหรือคนงาน,12490
กาตาร์,ผู้ปฏิบัติงานก่อสร้างอื่น ๆ,12163
กาตาร์,นวดแผนโบราณ,7129
กาตาร์,ผลิตชิ้นส่วนอิเลคทรอนิคส์,6592
กาตาร์,คนงานผลิตผลิตภัณฑ์ พลาสติก,5120
กาตาร์,ผลิตเครื่องจักรกล,4108
กาตาร์,คนงานผลิตผลิตภัณฑ์ทั่วไป,4056
กาตาร์,ช่างเชื่อม,3831
กาตาร์,อุตสาหกรรมผลิตอาหาร,3774
กาตาร์,กุ๊ก,3541
กาตาร์,คนงานผลิตสิ่งทอ,3532
กาตาร์,เกษตรกรทั่วไป,3016
กาตาร์,เกษตรกรเก็บผลไม้ป่า,2924
กาตาร์,พนักงานบรรจุอาหาร,2473
กาตาร์,ชาวประมงและผู้ปฏิบัติงานที่เกี่ยวข้อง,2451
กาตาร์,ผลิตอาหารสำเร็จรูป,2433
กาตาร์,ช่างไม้ (ก่อสร้าง),2236
กาตาร์,ผลิตผลิตภัณฑ์ยาง,1905
กาตาร์,ผลิตชิ้นส่วนรถยนต์และรถจักรยานยนต์,1883
กาตาร์,ผลิตผลิตภัณฑ์อาหารแช่แข็ง,1781
กาตาร์,ผลิตอะไหล่รถจักรยาน,1581
กาตาร์,พนักงานต้อนรับบนอากาศยาน,1502
กาตาร์,ผลิตอุปกรณ์ชิ้นส่วนรถยนต์,1460
กาตาร์,กุ๊ก (อาหารไทย),1347
กาตาร์,ผู้ช่วยงานบ้าน,1323
กาตาร์,ช่างเหล็ก,1278
กาตาร์,พนักงานทั่วไป,1277
กาตาร์,ช่างปูกระเบื้อง,1229
กาตาร์,แม่บ้าน,1189
กาตาร์,ช่างเทคนิค,1130
กาตาร์,พนักงานเสริฟ,1119
กาตาร์,ผู้อนุบาล,1118
กาตาร์,ช่างปูน,1058
กาตาร์,ผลิตผลิตภัณฑ์กระดาษ,912
กาตาร์,เกษตรกรเก็บผลไม้ในฟาร์ม,912
กาตาร์,ผู้ทำงานในสวนเพาะชำและผู้ทำสวนอื่น ๆ,899
กาตาร์,ผลิตผลิตภัณฑ์พลาสติก,877
กาตาร์,ผลิตผลิตภัณฑ์ซีเมนต์,853
กาตาร์,ลูกเรือหาปลา,849
กาตาร์,พนักงานโรงงาน(ซึ่งมิได้จัดประเภทไว้),832
กาตาร์,ช่างประกอบท่อ,822
กาตาร์,ช่างซ่อมบำรุง,790
กาตาร์,วิศวกร,762
กาตาร์,ผลิตภัณฑ์เคมี' ผลิตเคมีภัณฑ์,756
กาตาร์,พ่อครัวชั้นหนึ่ง,705
กาตาร์,บรรจุหีบห่อ,668
กาตาร์,คนงานในฟาร์มทั่วไป,631
