destination_country,province,worker_count
คูเวต,ลำปาง,101
คูเวต,กาฬสินธุ์,80
คูเวต,สกลนคร,68
คูเวต,สุโขทัย,51
คูเวต,อุดรธานี,45
คูเวต,เชียงราย,38
คูเวต,ขอนแก่น,37
คูเวต,นครราชสีมา,34
คูเวต,เชียงใหม่,33
คูเวต,อุบลราชธานี,32
คูเวต,กรุงเทพมหานคร,26
คูเวต,มหาสารคาม,23
คูเวต,หนองบัวลำภู,20
คูเวต,บุรีรัมย์,17
คูเวต,ชัยภูมิ,17
คูเวต,พะเยา,15
คูเวต,ชลบุรี,15
คูเวต,ร้อยเอ็ด,14
คูเวต,สมุทรปราการ,11
คูเวต,น่าน,11
คูเวต,สระแก้ว,10
คูเวต,ศรีสะเกษ,10
คูเวต,สุรินทร์,10
คูเวต,พิษณุโลก,10
คูเวต,นครสวรรค์,9
คูเวต,อุตรดิตถ์,9
คูเวต,นครพนม,9
คูเวต,เพชรบูรณ์,9
คูเวต,เลย,9
คูเวต,ภูเก็ต,8
คูเวต,ตาก,8
คูเวต,นนทบุรี,8
คูเวต,บึงกาฬ,7
คูเวต,หนองคาย,5
คูเวต,อำนาจเจริญ,5
คูเวต,ยโสธร,5
คูเวต,ปทุมธานี,5
คูเวต,สุพรรณบุรี,5
คูเวต,นครปฐม,3
คูเวต,สระบุรี,3
คูเวต,ปราจีนบุรี,3
คูเวต,ลพบุรี,3
คูเวต,ตรัง,2
คูเวต,พระนครศรีอยุธยา,2
คูเวต,ระยอง,2
คูเวต,ราชบุรี,2
คูเวต,ประจวบคีรีขันธ์,2
คูเวต,ยะลา,2
คูเวต,ลำพูน,2
คูเวต,กาญจนบุรี,1
คูเวต,ตราด,1
คูเวต,กำแพงเพชร,1
คูเวต,ฉะเชิงเทรา,1
คูเวต,พังงา,1
คูเวต,แพร่,1
คูเวต,เพชรบุรี,1
คูเวต,พิจิตร,1
คูเวต,มุกดาหาร,1
คูเวต,สิงห์บุรี,1
คูเวต,สมุทรสงคราม,1
กาตาร์,ลำปาง,101
กาตาร์,กาฬสินธุ์,80
กาตาร์,สกลนคร,68
กาตาร์,สุโขทัย,51
กาตาร์,อุดรธานี,45
กาตาร์,เชียงราย,38
กาตาร์,ขอนแก่น,37
กาตาร์,นครราชสีมา,34
กาตาร์,เชียงใหม่,33
กาตาร์,อุบลราชธานี,32
กาตาร์,กรุงเทพมหานคร,26
กาตาร์,มหาสารคาม,23
กาตาร์,หนองบัวลำภู,20
กาตาร์,บุรีรัมย์,17
กาตาร์,ชัยภูมิ,17
กาตาร์,พะเยา,15
กาตาร์,ชลบุรี,15
กาตาร์,ร้อยเอ็ด,14
กาตาร์,สมุทรปราการ,11
กาตาร์,น่าน,11
กาตาร์,สระแก้ว,10
กาตาร์,ศรีสะเกษ,10
กาตาร์,สุรินทร์,10
