district,worker_count
อำเภอเมืองอุดรธานี,4820
อำเภอหนองหาน,4681
อำเภอเพ็ญ,4588
อำเภอสว่างแดนดิน,3442
อำเภอโพนพิสัย,2835
อำเภอบ้านผือ,2792
อำเภอบ้านดุง,2719
อำเภอเมืองหนองบัวลำภู,2636
อำเภอเมืองนครพนม,2597
อำเภอแม่ฟ้าหลวง,2548
อำเภอประทาย,2423
อำเภอแม่สรวย,2044
อำเภอเมืองหนองคาย,2041
อำเภอแก้งคร้อ,1957
อำเภอกุมภวาปี,1955
อำเภอเมืองเชียงราย,1872
อำเภอจักราช,1747
อำเภอสุวรรณคูหา,1696
อำเภอท่าบ่อ,1696
อำเภอภูเขียว,1630
อำเภอกุดจับ,1573
อำเภอปลาปาก,1561
อำเภอไชยวาน,1503
อำเภอหนองสองห้อง,1496
อำเภอหนองวัวซอ,1465
อำเภอนากลาง,1457
อำเภอวานรนิวาส,1448
อำเภอทุ่งฝน,1359
อำเภอเมืองชัยภูมิ,1353
อำเภอลำปลายมาศ,1344
อำเภอธาตุพนม,1337
อำเภอศรีสงคราม,1335
อำเภอบัวใหญ่,1329
อำเภอศรีบุญเรือง,1275
อำเภอห้วยแถลง,1269
อำเภอสร้างคอม,1262
อำเภอกู่แก้ว,1201
อำเภอเมืองนครราชสีมา,1149
อำเภอบ้านแท่น,1131
อำเภอชุมพวง,1127
อำเภอเวียงแก่น,1115
อำเภอแม่จัน,1110
อำเภอเถิน,1095
อำเภอชุมแพ,1076
อำเภอพิบูลย์รักษ์,1056
อำเภอเมืองขอนแก่น,1033
อำเภอท่าอุเทน,1025
อำเภอคง,1010
อำเภอเดชอุดม,1009
อำเภอเทิง,1005
อำเภอเมืองสตูล,1001
อำเภอพิมาย,983
อำเภอท่าตูม,976
อำเภอโนนสัง,974
อำเภอพุทไธสง,970
อำเภอประจักษ์ศิลปาคม,961
อำเภอโพนสวรรค์,956
อำเภอกระสัง,953
อำเภอศรีธาตุ,943
อำเภอเจริญศิลป์,908
อำเภอเมืองยาง,897
อำเภอคูเมือง,887
อำเภอบรบือ,875
อำเภอบ้านตาก,874
อำเภอโกสุมพิสัย,863
อำเภอคอนสวรรค์,854
อำเภอบ้านม่วง,852
อำเภอเมืองบึงกาฬ,851
อำเภอบ้านใหม่ไชยพจน์,849
อำเภอน้ำโสม,838
อำเภอเฝ้าไร่,831
อำเภอเมืองสุรินทร์,824
อำเภอบ้านด่านลานหอย,809
อำเภอศรีราชา,804
อำเภอสบปราบ,799
อำเภอพบพระ,794
อำเภอโซ่พิสัย,788
อำเภอละงู,786
อำเภอเสริมงาม,772
อำเภอทุ่งเสลี่ยม,770
อำเภอเมืองกำแพงเพชร,758
อำเภอพล,756
อำเภอเฉลิมพระเกียรติ,728
อำเภอแวงน้อย,727
อำเภอเรณูนคร,723
อำเภอบ้านไผ่,720
อำเภอเซกา,714
อำเภอเมืองบุรีรัมย์,711
อำเภอเกษตรสมบูรณ์,693
อำเภอเมืองสกลนคร,688
อำเภอหนองเรือ,684
อำเภอแก้งสนามนาง,665
อำเภออากาศอำนวย,653
อำเภอหนองบัวแดง,651
อำเภอเชียงคำ,644
อำเภอวังสามหมอ,644
อำเภอบางระกำ,642
อำเภอเมืองสุโขทัย,636
อำเภอนาโพธิ์,634
อำเภอปง,634
อำเภอสีชมพู,633
อำเภอเชียงของ,627
อำเภอกันทรลักษ์,625
อำเภอเมืองลำปาง,621
อำเภอหนองจิก,620
อำเภอตระการพืชผล,619
อำเภอเมืองสมุทรปราการ,617
อำเภอศรีสัชนาลัย,606
อำเภอสระใคร,604
อำเภอรัตนวาปี,593
อำเภอบุณฑริก,591
อำเภอน้ำพอง,586
อำเภอพิบูลมังสาหาร,578
อำเภอนาวัง,577
อำเภอยะหริ่ง,566
อำเภอจัตุรัส,566
อำเภอลำทะเมนชัย,563
อำเภอส่องดาว,563
อำเภอนาเชือก,556
อำเภอพญาเม็งราย,551
อำเภอด่านขุนทด,549
อำเภอคลองลาน,529
อำเภอเมืองตาก,528
อำเภอยางตลาด,527
อำเภอหนองไผ่,519
อำเภอประโคนชัย,512
อำเภอบ้านแพง,510
อำเภอโนนสะอาด,508
อำเภอโนนสูง,506
อำเภอเมืองมุกดาหาร,506
อำเภอนาหว้า,506
อำเภอศรีสำโรง,504
อำเภอสังขะ,502
อำเภอหนองหงส์,499
